Bug ID,Description,Compiled,Crash Occurred
9d2a6ef56c3805144bf0,KASAN: slab-use-after-free Read in tcp_prune_ofo_queue,❌,❌
4708579bb230a0582a57,UBSAN: shift-out-of-bounds in gfs2_dir_read,✅,❌
b63d677d63bcac06cf90,UBSAN: shift-out-of-bounds in s32ton,✅,❌
2de68371153f0da8af8c,KASAN: slab-out-of-bounds Read in dtReadFirst,✅,❌
a6ffe86390c8a6afc818,KASAN: slab-use-after-free Read in ucma_create_uevent,❌,❌
3168625f36f4a539237e,BUG: unable to handle kernel paging request in bch2_copygc,✅,❌
f1bb7e4ea47ea12b535c,UBSAN: shift-out-of-bounds in aio_iiro_16_attach,✅,❌
5cd373521edd68bebcb3,UBSAN: shift-out-of-bounds in pcl726_attach,✅,💥
32de323b0addb9e114ff,UBSAN: shift-out-of-bounds in pcl812_attach,✅,❌
c52293513298e0fd9a94,UBSAN: shift-out-of-bounds in das16m1_attach,✅,💥
2fc81b50a4f8263a159b,KASAN: slab-use-after-free Read in btusb_disconnect,✅,❌
86b6d7c8bcc66747c505,KASAN: slab-out-of-bounds Read in mon_bin_event,✅,❌
894877f2c4dd5fdea634,KASAN: slab-out-of-bounds Write in bch2_dirent_init_name,❌,❌
6554b492c7008bcd3385,UBSAN: array-index-out-of-bounds in ieee80211_rx_mgmt_beacon,✅,💥
e577022d4fba380653be,KASAN: slab-out-of-bounds Read in bch2_sb_members_v1_to_text,✅,❌
7b5ffa68b7af11821176,KASAN: slab-use-after-free Read in bch2_str_hash_repair_key,✅,❌
0a5079ee014f4b907817,KASAN: slab-out-of-bounds Read in __futex_pivot_hash,✅,❌
04c4e65cab786a2e5b7e,KASAN: slab-out-of-bounds Read in ext4_ext_correct_indexes,❌,❌
9db318d6167044609878,KASAN: slab-use-after-free Read in ext4_ext_insert_extent,❌,❌
7d5c34b9ec9fe139fc0c,KASAN: use-after-free Read in bch2_checksum,✅,❌
4c1966e88c28fa96e053,UBSAN: shift-out-of-bounds in dbSplit,✅,❌
13ba7f3e9a17f77250fe,UBSAN: shift-out-of-bounds in jfs_statfs,✅,❌
cffd18309153948f3c3e,UBSAN: array-index-out-of-bounds in dbAllocAG,✅,❌
827ae2bfb3a3529333e9,KASAN: null-ptr-deref Read in smc_tcp_syn_recv_sock,❌,❌
ac3c79181f6aecc5120c,KASAN: vmalloc-out-of-bounds Read in hci_devcd_dump,✅,💥
b73703b873a33d8eb8f6,KASAN: use-after-free Read in ext4_ext_remove_space,✅,❌
db4326df1b9af04f68fc,KASAN: slab-use-after-free Read in load_firmware_cb,✅,❌
4f9c823a6f63d87491ba,UBSAN: array-index-out-of-bounds in dtDelete,❌,❌
9f6d080dece587cfdd4c,KASAN: slab-out-of-bounds Read in xlog_cksum,✅,❌
7687c9b2316f07027b29,KASAN: global-out-of-bounds Read in get_mem_cgroup_from_mm,❌,❌
356aed408415a56543cd,KASAN: slab-out-of-bounds Read in hfsplus_bmap_alloc,✅,💥
49423de13afd058db22f,KASAN: user-memory-access Read in dqput,✅,❌
87078ad27cd8af3263cc,KASAN: use-after-free Read in check_dirent,✅,❌
d587b24799bd8c2d32f4,KASAN: use-after-free Read in crypto_poly1305_update,✅,❌
2110ef46097c323451eb,KASAN: slab-out-of-bounds Read in folio_try_get,✅,❌
270f1c719ee7baab9941,UBSAN: shift-out-of-bounds in sg_build_indirect,✅,💥
8ae0902c29b15a27a4ee,UBSAN: shift-out-of-bounds in xas_reload,❌,❌
a98891ce2318fe7baf05,KASAN: slab-use-after-free Read in jfs_readdir,❌,❌
14d047423f40dc1dac89,KASAN: slab-use-after-free Read in filemap_map_pages,❌,❌
ee60e584b5c6bb229126,KASAN: use-after-free Read in ext4_find_extent,❌,❌
bc71245e56f06e3127b7,KASAN: slab-use-after-free Read in force_devcd_write,✅,💥
1eb177ecc3943b883f0a,KASAN: slab-use-after-free Read in dvb_device_open,✅,❌
7741f872f3c53385a2e2,KASAN: slab-out-of-bounds Read in afs_proc_addr_prefs_write,❌,❌
a939a1121380d3212940,KASAN: slab-use-after-free Write in dtSplitPage,❌,❌
52c1a7d3e5b361ccd346,KASAN: null-ptr-deref Write in mcp2221_raw_event,✅,❌
fbc1f6040dd365cce0d8,KASAN: use-after-free Read in check_extent_overbig,❌,❌
99491d74a9931659cf48,UBSAN: array-index-out-of-bounds in dtSplitRoot,❌,❌
4c7590f1cee06597e43a,KASAN: slab-use-after-free Read in folio_evictable,❌,❌
92e65e9b7a42d379f92e,KASAN: use-after-free Read in bch2_btree_node_read_done,✅,❌
fea0322882c0cba65f11,KASAN: use-after-free Read in bch2_check_dirents,✅,❌
9e90a1c5eedb9dc4c6cc,UBSAN: shift-out-of-bounds in dbFindBits,✅,❌
af14efe17dfa46173239,KASAN: slab-use-after-free Read in ocfs2_reserve_suballoc_bits,✅,❌
905d719acdbd213bf67e,KASAN: slab-use-after-free Read in percpu_ref_put,❌,❌
5f7f0caf9979e9d09ff8,UBSAN: array-index-out-of-bounds in dtInsertEntry,✅,❌
9f41e4b255897d99d4e9,UBSAN: shift-out-of-bounds in __btree_node_pinned,✅,❌
4d55dad3a9e8e9f7d2b5,KASAN: use-after-free Read in __ocfs2_flush_truncate_log,✅,❌
b20bbf680bb0f2ecedae,KASAN: use-after-free Read in ocfs2_dir_foreach_blk,❌,❌
f792df426ff0f5ceb8d1,KASAN: out-of-bounds Read in ext4_xattr_set_entry,❌,❌
a11c46f37ee083a73deb,KASAN: use-after-free Read in em28xx_close_extension,❌,❌
a49010a0e8fcdeea075f,KASAN: slab-use-after-free Read in ocfs2_fault,✅,❌
46b0888255f68622d309,KASAN: use-after-free Read in ext4_inlinedir_to_tree,❌,❌
5054473a31f78f735416,KASAN: use-after-free Read in ocfs2_claim_suballoc_bits,✅,❌
d16facb00df3f446511c,KASAN: slab-use-after-free Read in lmLogInit,❌,❌
c4b7aa0513823e2ea880,KASAN: vmalloc-out-of-bounds Write in imageblit,✅,❌
8743fca924afed42f93e,KASAN: use-after-free Read in udf_update_tag,❌,❌
793cf822d213be1a74f2,KASAN: global-out-of-bounds Read in bit_putcs,✅,💥
916742d5d24f6c254761,KASAN: slab-use-after-free Read in hdm_disconnect,✅,❌
ee5f6a9c86b42ed64fec,KASAN: slab-use-after-free Read in ext4_read_inline_dir,❌,❌
d5dc2801166df6d34774,KASAN: slab-use-after-free Read in lockref_get,✅,💥
6d3021bf0c4cb4ffac17,KASAN: slab-use-after-free Read in neon_poly1305_update,✅,❌
39b2fb0f2638669008ec,UBSAN: array-index-out-of-bounds in decompress_lznt,❌,❌
0be47376a6acbcba7f0d,KASAN: slab-out-of-bounds Read in dbAllocBits,✅,❌
cea4fad5485bc30243a9,KASAN: user-memory-access Read in jfs_statfs,✅,❌
9375e47164f8e9588f17,KASAN: slab-out-of-bounds Read in poly1305_update_arch,❌,❌
7efd59a5a532c57037e6,KASAN: stack-out-of-bounds Read in gfs2_dump_glock,❌,❌
13e8cd4926977f8337b6,UBSAN: shift-out-of-bounds in extAlloc,✅,❌
bd3506d55fa4e2fd9030,UBSAN: array-index-out-of-bounds in dtSearch,❌,❌
5c915dc5dd417b83b348,KMSAN: uninit-value in l2cap_recv_frame,✅,❌
5d34cc6474499a5ff516,KASAN: slab-use-after-free Read in chrdev_open,❌,❌
aa6df9d3b383bf5f047f,KASAN: slab-out-of-bounds Write in diWrite,✅,❌
3a36aeabd31497d63f6e,KASAN: slab-use-after-free Read in gfs2_invalidate_folio,✅,💥
1a28995e12fd13faa44e,KASAN: slab-use-after-free Read in xfs_inode_item_push,✅,❌
27209997e4015fb4702e,KASAN: slab-use-after-free Read in __hci_req_sync,❌,❌
e84662c5f30b8c401437,KASAN: slab-use-after-free Read in jffs2_garbage_collect_pass,❌,❌
9a3c54f52bd1edbd975f,KASAN: slab-use-after-free Write in usb_anchor_suspend_wakeups,✅,❌
02e64be5307d72e9c309,KASAN: null-ptr-deref Write in do_pagemap_cmd,✅,❌
827272712bd6d12c79a4,KASAN: slab-use-after-free Read in handle_tx,✅,❌
0f999d26a4fd79c3a23b,KASAN: slab-use-after-free Read in drm_atomic_helper_wait_for_vblanks,✅,💥
c244f4a09ca85dd2ebc1,KASAN: slab-use-after-free Read in jfs_syncpt,❌,❌
6df204b70bf3261691c5,KASAN: out-of-bounds Read in hfsplus_bnode_move,✅,💥
8d2757d62d403b2d9275,KASAN: stack-out-of-bounds Read in sched_show_task,✅,❌
fc26c366038b54261e53,UBSAN: shift-out-of-bounds in befs_check_sb,✅,❌
9947d6d413633b3877d2,KASAN: wild-memory-access Read in hfsplus_bnode_read_u16,✅,💥
dcc068159182a4c31ca3,KASAN: user-memory-access Write in __destroy_inode,❌,❌
f687659f3c2acfa34201,KASAN: wild-memory-access Read in hfsplus_bnode_dump,✅,❌
f1521383cec5f7baaa94,KASAN: slab-use-after-free Read in release_metapage,❌,❌
076d963e115823c4b9be,KASAN: slab-out-of-bounds Read in hfsplus_uni2asc,✅,💥
